Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34.0,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993.0,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5
49.0,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5003.0,24907,1,No,23,4,4,1,10,3,3,10,7,1,7
37.0,,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0
33.0,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2809.0,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0
27.0,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632,9,No,12,3,4,1,6,3,3,2,2,2,2
32.0,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864,0,No,13,3,3,0,8,2,2,7,7,3,6
59.0,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0
30.0,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,No,22,4,2,1,1,2,3,1,0,0,0
38.0,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0,No,21,4,2,0,10,2,3,9,7,1,8
36.0,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6,No,13,3,2,2,17,3,2,7,7,7,7
35.0,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,No,13,3,3,1,6,5,3,5,4,0,3
29.0,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8
31.0,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,15170,1,No,17,3,4,1,5,1,2,5,2,4,3
34.0,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0,No,11,3,3,1,3,2,3,2,2,1,2
28.0,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3
29.0,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,No,11,3,3,1,10,1,3,10,9,8,8
32.0,,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5
22.0,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0
53.0,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2,No,16,3,3,0,31,3,3,25,8,3,7
38.0,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944.0,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2
24.0,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232,0,No,18,3,4,1,5,5,2,4,2,1,3
36.0,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,2973.0,6986,7,No,23,4,2,0,10,4,3,5,3,0,3
34.0,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994.0,21293,0,No,11,3,3,0,13,4,3,12,6,2,11
21.0,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232.0,19281,1,No,14,3,4,0,0,6,3,0,0,0,0
34.0,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102,2,No,11,3,3,0,8,2,3,4,2,1,3
53.0,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094.0,10735,4,No,11,3,4,1,26,3,2,14,13,4,8
32.0,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919.0,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7
42.0,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0,No,11,3,4,1,10,2,3,9,7,4,2
44.0,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094,3,No,14,3,4,1,24,4,3,22,6,5,17
46.0,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947.0,22822,3,No,12,3,4,0,22,2,2,2,2,2,1
33.0,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496.0,6670,4,No,11,3,4,0,7,3,3,1,1,0,0
44.0,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3
30.0,,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206.0,16117,1,No,13,3,1,0,10,5,3,10,0,1,8
