kolumna,korelacja_abs,korelacja
MonthlyIncome,0.20204766232131507,-0.20204766232131507
YearsAtCompany,0.20162024408861076,-0.20162024408861076
TotalWorkingYears,0.20099468575994717,-0.20099468575994717
JobLevel,0.19970130039918885,-0.19970130039918885
YearsInCurrentRole,0.19316522051808968,-0.19316522051808968
YearsWithCurrManager,0.18738649111675112,-0.18738649111675112
Age,0.1825264132100929,-0.1825264132100929
StockOptionLevel,0.17034814160075534,-0.17034814160075534
JobInvolvement,0.12055763823280949,-0.12055763823280949
JobSatisfaction,0.10865014248409052,-0.10865014248409052
